name,team,position,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,rank
Max Pacioretty,VGK,LW,1.2,1.2,0.7,0.6,11.2,4.3,16.1
Steven Stamkos,TB,"LW,RW",1.3,1.8,0.5,0.8,7.6,2.3,17.0
Dougie Hamilton,Car,D,0.6,1.2,0.7,0.7,8.2,2.9,30.7
Evander Kane,SJ,LW,1.3,1.2,-0.4,0.7,9.7,4.6,39.3
Neal Pionk,Wpg,D,0.2,1.7,0.4,1.0,6.5,5.7,41.8
Sean Monahan,Cgy,C,1.4,1.7,0.3,1.1,10.1,3.6,43.9
Ryan Strome,NYR,"C,RW",1.1,2.2,0.8,0.9,10.0,3.7,49.3
Patric Hornqvist,Fla,RW,1.2,1.1,0.5,0.6,10.5,5.9,64.2
Reilly Smith,VGK,RW,0.9,1.2,0.7,0.3,6.5,2.2,67.8
Ryan Pulock,NYI,D,0.4,1.2,0.6,0.5,7.6,6.5,70.8
Ryan Ellis,Nsh,D,0.5,1.9,1.2,0.6,8.7,3.8,71.4
Tomas Tatar,Mon,"LW,RW",0.9,1.3,0.5,0.6,5.9,2.2,89.8
Nate Schmidt,Van,D,0.6,1.9,1.0,0.6,9.4,2.9,105.7
Nikita Zadorov,Chi,D,0.3,0.6,0.6,0.0,5.5,13.5,132.3
