name,team,position,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,rank
Nazem Kadri,Col,C,1.3,1.3,0.0,0.8,9.8,4.1,41.2
Chris Kreider,NYR,LW,1.6,1.1,0.3,0.7,10.6,9.0,46.6
Brock Nelson,NYI,C,1.4,1.4,0.2,0.5,10.0,2.9,62.7
Ryan Pulock,NYI,D,0.4,1.3,0.6,0.5,9.5,6.2,63.6
Viktor Arvidsson,Nsh,"LW,RW",1.5,1.7,1.1,0.5,13.4,1.2,65.0
Evgenii Dadonov,Ott,"LW,RW",1.1,1.6,-0.3,0.8,8.8,2.3,70.9
Mark Giordano,Cgy,D,0.6,1.4,0.5,0.9,9.3,2.3,71.3
Zach Parise,Min,LW,1.7,1.9,-0.3,1.1,13.7,1.4,75.8
Phillip Danault,Mon,C,0.6,1.7,0.7,0.2,6.4,5.7,77.4
Colton Parayko,StL,D,0.6,1.5,0.8,0.4,8.6,4.3,78.4
Jason Zucker,Pit,"LW,RW",1.3,1.4,0.1,0.7,8.8,4.7,82.5
Craig Smith,Bos,RW,1.1,1.0,0.8,0.4,12.0,3.6,86.3
Tanner Pearson,Van,LW,1.3,1.6,-0.1,0.4,11.2,8.5,86.4
Pavel Buchnevich,NYR,RW,1.2,2.2,0.0,0.8,11.1,5.5,88.1
Nate Schmidt,Van,D,0.5,1.7,1.3,0.5,9.2,2.8,99.4
Charlie Coyle,Bos,"C,RW",1.1,1.5,0.5,0.3,10.4,5.4,106.9
Nick Bjugstad,Min,"C,RW",0.9,1.0,0.4,0.4,8.8,4.3,107.8
Jordan Eberle,NYI,RW,1.0,1.3,0.1,0.6,8.6,2.4,110.0
Alexander Edler,Van,D,0.3,2.0,0.7,0.4,9.8,11.5,112.5
Miles Wood,NJ,LW,0.7,0.7,0.8,0.2,7.9,5.3,120.7
Jesper Bratt,NJ,"LW,RW",0.9,1.2,-0.2,0.5,7.0,2.5,127.4
Josh Norris,Ott,C,1.1,1.2,0.0,0.8,10.9,5.0,145.0
Zach Sanford,StL,LW,1.1,1.1,0.6,0.2,8.2,5.3,201.7
Nick Paul,Ott,"C,LW",0.7,0.9,0.3,0.2,7.7,9.5,229.8
Nils Hoglander,Van,"LW,RW",1.1,1.6,0.4,0.7,11.5,3.6,346.5
