name,team,position,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,rank
Mika Zibanejad,NYR,C,2.0,2.2,0.2,1.5,14.8,6.3,5.9
Gabriel Landeskog,Col,"C,LW",1.3,1.6,0.5,0.9,10.0,6.1,15.3
Max Pacioretty,VGK,LW,1.2,1.2,0.7,0.6,11.2,4.3,16.1
Roman Josi,Nsh,D,0.6,2.1,0.6,0.9,12.4,2.8,16.8
Dougie Hamilton,Car,D,0.6,1.2,0.7,0.7,8.2,2.9,30.7
Neal Pionk,Wpg,D,0.2,1.7,0.4,1.0,6.5,5.7,41.8
Jonathan Marchessault,VGK,"C,LW",0.8,1.2,0.2,0.5,8.6,4.1,44.1
Patric Hornqvist,Fla,RW,1.2,1.1,0.5,0.6,10.5,5.9,64.2
Ryan Ellis,Nsh,D,0.5,1.9,1.2,0.6,8.7,3.8,71.4
Rickard Rakell,Anh,"LW,RW",1.1,1.5,-0.5,0.6,10.9,4.4,76.9
Blake Coleman,TB,"LW,RW",1.1,0.6,0.4,0.1,9.4,9.6,79.3
Ryan Graves,Col,D,0.3,0.7,0.8,0.0,5.7,4.8,127.0
Andrew Shaw,Chi,"C,RW",0.8,1.2,-0.2,0.5,8.3,9.6,130.2
Nikita Zadorov,Chi,D,0.3,0.6,0.6,0.0,5.5,13.5,132.3
